dataset	NCBIname	nLoci	GCtot_avg	GCtot_std	GC12_avg	GC12_std	GC3_avg	GC3_std	GCutr_avg	GCutr_std	r_GC3_GCutr	r_expression_ENc_cub	r_expression_ENc_JN	r_expression_ENcP_cub	r_expression_ENcP_JN	r_expression_ENcPFDS_cub	r_expression_Um_cub
Hippocampus_kuda	Hippocampus kuda	21994	0.53917	0.0573	0.48866	0.05126	0.64027	0.11937	0.44203	0.07284	0.2619	0.09728	-0.03852	0.13156	-0.07443	0.1211	-0.01576
Homo_sapiens	Homo sapiens	9881	0.49391	0.07108	0.47397	0.05671	0.5339	0.15214	0.45585	0.10144	0.52349	0.27452	-0.08503	0.37781	-0.06789	0.34907	-0.22567
Leptogorgia_sarmentosa	Leptogorgia sarmentosa	16494	0.42195	0.04168	0.44	0.04911	0.38575	0.08128	0.338	0.0753	0.12378	0.23819	0.00424	0.2382	0.00656	0.22023	-0.09923
Lepus_granatensis	Lepus granatensis	4809	0.50631	0.07958	0.48066	0.06186	0.55762	0.15965	0.43173	0.11734	0.59863	-0.05538	-0.03126	-0.04065	-0.05893	-0.02965	0.05475
Lineus_lacteus	Ramphogordius lacteus	22522	0.47158	0.03787	0.45783	0.04512	0.49911	0.08488	0.39615	0.05716	0.12209	0.17552	-0.01826	0.18186	-0.03939	0.18046	-0.1578
Lineus_longissimus	Lineus longissimus	15678	0.46905	0.03502	0.45608	0.0418	0.49501	0.07516	0.40631	0.05548	0.12272	-0.14328	-0.10272	-0.14034	-0.13559	-0.13229	0.11573
Lineus_ruber2	Lineus ruber	26549	0.46908	0.03707	0.45661	0.04507	0.49405	0.08115	0.40411	0.05839	0.11489	0.07745	-0.0399	0.0847	-0.0522	0.09007	-0.08838
Liocarcinus_depurator	Liocarcinus depurator	9919	0.50723	0.05597	0.48261	0.05616	0.55652	0.11101	0.40136	0.07883	0.29927	0.10156	-0.09416	0.1406	-0.13973	0.13853	-0.11104
Macaca_mulatta	Macaca mulatta	10498	0.48635	0.06987	0.47006	0.05596	0.51903	0.14965	0.44535	0.099	0.54341	0.2585	-0.10644	0.36313	-0.08925	0.33049	-0.17397
Melitaea_athalia	Melitaea abbas	7111	0.41119	0.06223	0.42618	0.05608	0.38114	0.11993	0.29266	0.08431	0.17781	0.28415	0.00179	0.25712	-0.09934	0.24414	-0.11633
Melitaea_cinxia	Melitaea cinxia	12258	0.41342	0.06755	0.42863	0.05937	0.38298	0.1214	0.27491	0.08134	0.27357	-0.11664	-0.01348	-0.16978	-0.14025	-0.15058	0.13015
Melitaea_didyma	Melitaea didyma	10065	0.40458	0.06175	0.42161	0.05617	0.37045	0.11419	0.28281	0.08145	0.2044	0.28364	0.01607	0.25233	-0.08425	0.23534	-0.11944
Melitaea_parthenoides	Mellicta parthenoides	7751	0.41055	0.06132	0.42536	0.05554	0.38088	0.11617	0.28571	0.07926	0.17263	0.24671	0.02452	0.20065	-0.08112	0.1944	-0.07692
Mellicta_athalia	Mellicta athalia	7116	0.41129	0.06232	0.42625	0.05627	0.38129	0.11992	0.29307	0.08466	0.17498	0.28549	0.00316	0.25833	-0.09856	0.24587	-0.11648
Mellicta_parthenoides	Mellicta plotina	7747	0.41065	0.06145	0.42543	0.05559	0.38104	0.11642	0.28593	0.07965	0.17801	0.24661	0.02513	0.20029	-0.07996	0.19446	-0.0765
Messor_barbarus	Messor barbarus	10086	0.45609	0.07108	0.44581	0.06019	0.47665	0.12628	0.38899	0.09863	0.42095	-0.06217	0.0373	-0.10974	-0.05756	-0.09562	0.17239
Messor_capitatus	Messor capitatus	10551	0.45165	0.06639	0.44278	0.05467	0.46942	0.12508	0.36145	0.0892	0.3656	0.13051	0.03347	0.11396	-0.01687	0.12685	-0.10359
Messor_structor	Messor structor	11801	0.46205	0.07444	0.44925	0.06104	0.48767	0.13423	0.39226	0.09531	0.42358	0.13308	0.05624	0.10836	0.01505	0.1081	-0.03903
Metasepia_pfefferi	Metasepia pfefferi	5116	0.4111	0.04451	0.43147	0.05694	0.3703	0.07504	0.32238	0.07608	0.15758	0.31667	-0.03069	0.33308	-0.05546	0.30292	-0.1968
Microtus_agrestis	Microtus agrestis	16368	0.50987	0.06457	0.48646	0.05855	0.55675	0.12124	0.47164	0.08616	0.5588	0.26906	-0.04964	0.33602	-0.03295	0.32628	-0.19299
Microtus_arvalis	Microtus arvalis	11715	0.51422	0.06423	0.48813	0.05693	0.56642	0.11724	0.47697	0.0895	0.52719	-0.11021	-0.02519	-0.12232	-0.05338	-0.10321	0.15394
Microtus_glareolus	Myodes glareolus	13362	0.5018	0.06345	0.47903	0.05731	0.54743	0.12386	0.46747	0.09014	0.53304	0.33856	-0.04595	0.40244	-0.0379	0.37583	-0.25091
Monodelphis_domestica	Monodelphis domestica	14221	0.45504	0.05791	0.45461	0.05266	0.45589	0.11998	0.41407	0.08323	0.50821	0.31764	0.00073	0.3065	-0.04151	0.28426	-0.14554
Mus_musculus	Mus musculus	13012	0.48502	0.05475	0.46501	0.05044	0.52516	0.11599	0.448	0.08301	0.44129	0.33071	-0.04002	0.36525	-0.03696	0.33574	-0.19091
Mytilus_californianus	Mytilus californianus	19769	0.38015	0.03203	0.4142	0.04509	0.31196	0.05131	0.3134	0.05748	0.03246	0.1469	-0.04126	0.14133	-0.05718	0.12893	-0.05625
Mytilus_edulis	Mytilus edulis	34441	0.38406	0.03269	0.42001	0.04702	0.31208	0.05117	0.31435	0.06395	0.06448	-0.04988	0.0143	-0.10145	-0.05267	-0.09525	0.08504
Mytilus_galloprovincialis	Mytilus galloprovincialis	29892	0.38592	0.03357	0.42213	0.04848	0.31339	0.05229	0.31811	0.06877	0.05186	-0.09291	0.01479	-0.1586	-0.06514	-0.14822	0.14155
Mytilus_trossulus	Mytilus trossulus	27142	0.37969	0.03296	0.41221	0.04637	0.31456	0.05211	0.3109	0.05912	0.03859	0.1173	-0.03564	0.10615	-0.05774	0.10045	-0.04265
Necora_puber	Necora puber	13899	0.5107	0.05985	0.48739	0.05816	0.55734	0.11319	0.43213	0.08198	0.31304	-0.06537	-0.02166	-0.07765	-0.09034	-0.06951	0.14365
Nycticebus_coucang	Nycticebus coucang	13290	0.46998	0.0632	0.46047	0.05438	0.48906	0.13067	0.42446	0.08893	0.45901	0.27577	-0.05075	0.30497	-0.06875	0.27612	-0.14688
Ophioderma_longicauda_L1	Ophioderma longicauda	13540	0.43638	0.04196	0.44351	0.0507	0.42211	0.06905	0.37383	0.0612	0.09961	-0.02284	0.00587	-0.04895	-0.06465	-0.04314	0.06941
Ophioderma_longicauda_L3	Ophioderma panamensis	19854	0.43764	0.03988	0.44692	0.0495	0.41904	0.06968	0.37358	0.0562	0.08214	0.12764	-0.00688	0.11395	-0.04619	0.11112	-0.11197
Ostrea_chilensis	Ostrea chilensis	6139	0.43741	0.04024	0.43889	0.04842	0.43445	0.07594	0.33976	0.06607	0.03795	0.16759	-0.01319	0.14194	-0.05982	0.1464	-0.07087
Ostrea_edulis	Ostrea edulis	5752	0.43916	0.04176	0.43794	0.04515	0.4416	0.07562	0.33383	0.06303	0.15251	-0.11857	-0.06476	-0.14356	-0.13358	-0.12879	0.11569
Ostreola_stentina	Ostrea stentina	3733	0.44135	0.04304	0.43788	0.04792	0.4483	0.08277	0.34809	0.07456	0.04352	0.17161	-0.03423	0.14665	-0.08424	0.13233	-0.02963
Pan_troglodytes	Pan troglodytes	9738	0.4849	0.07063	0.46858	0.05702	0.51765	0.15054	0.44139	0.09958	0.54682	0.25606	-0.09665	0.36072	-0.0794	0.32424	-0.17621
Parus_caeruleus	Cyanistes caeruleus	3801	0.49432	0.07084	0.47236	0.05734	0.53827	0.1422	0.42487	0.08952	0.45446	-0.09077	-0.01547	-0.08115	-0.02304	-0.05558	0.05233
Pectinaria_koreni_nord	Pectinaria koreni	4066	0.50935	0.05971	0.47565	0.05533	0.57692	0.12175	0.3788	0.0986	0.31452	-0.02384	-0.07943	0.01476	-0.0741	0.00286	-0.03423
Pectinaria_koreni_sud	Pectinaria regalis	3414	0.49796	0.0616	0.46837	0.05797	0.55733	0.12714	0.37711	0.09772	0.2716	0.04409	-0.11306	0.11586	-0.08278	0.07507	-0.00815
Pheidole_pallidula	Pheidole pallidula	8321	0.45824	0.07567	0.44417	0.0618	0.48639	0.132	0.39571	0.08706	0.39713	0.23137	0.04667	0.23469	0.02544	0.2355	-0.13661
Physa_acuta	Physella acuta	8000	0.4466	0.05886	0.44622	0.047	0.44736	0.13076	0.33058	0.07814	0.28928	-0.07913	-0.10332	-0.06732	-0.1583	-0.04544	0.02963
Physa_gyrina	Physella gyrina	9867	0.43562	0.05557	0.44114	0.04894	0.42455	0.12324	0.32341	0.07603	0.2857	0.21711	-0.09384	0.22416	-0.13827	0.21281	-0.11767
Porcellio_dilatatus_petiti	Porcellio dilatatus petiti	14029	0.39478	0.04424	0.43057	0.05489	0.32307	0.07516	0.29509	0.09155	0.18597	0.14927	-0.07376	0.15873	-0.12242	0.16887	-0.15513
Propithecus_coquereli	Propithecus coquereli	10153	0.47541	0.06613	0.46203	0.05295	0.50226	0.14551	0.42504	0.09659	0.46603	0.25179	-0.07218	0.31914	-0.08331	0.29663	-0.17093
Reticulitermes_flavipes	Reticulitermes flavipes	18479	0.44378	0.04756	0.4591	0.05323	0.41309	0.08648	0.37323	0.05953	0.21573	0.36409	0.02327	0.35753	-0.00886	0.33967	-0.22961
Reticulitermes_grassei	Reticulitermes grassei	19212	0.44447	0.04852	0.45786	0.05325	0.41764	0.08459	0.38541	0.06396	0.19754	0.1376	-0.00406	0.12524	-0.04572	0.12832	-0.07819
Reticulitermes_lucifugus	Reticulitermes lucifugus	18613	0.44369	0.04712	0.45816	0.05288	0.4147	0.08508	0.36819	0.0577	0.20536	0.36546	0.01521	0.3589	-0.00285	0.34089	-0.24129
Sepia_officinalis	Sepia officinalis	12578	0.41658	0.04528	0.4342	0.05355	0.38128	0.07554	0.35334	0.08509	0.176	-0.07408	-0.04135	-0.07689	-0.09951	-0.05598	0.01978
Sepiella_japonica	Sepiella japonica	8015	0.41782	0.04357	0.43883	0.05537	0.37571	0.07682	0.33979	0.07952	0.17364	0.35826	-0.04026	0.38084	-0.0662	0.34886	-0.23677
Thymelicus_lineola	Thymelicus lineola	19065	0.47321	0.0888	0.45264	0.06305	0.5144	0.17316	0.34491	0.08941	0.26203	-0.00687	-0.03907	-0.00884	-0.12308	-0.00182	0.05354
Thymelicus_sylvestris	Thymelicus sylvestris	18911	0.47386	0.09008	0.45139	0.06335	0.51887	0.17645	0.34249	0.08911	0.25829	0.00285	-0.01928	-0.01113	-0.09781	-0.0115	0.06508
Trachemys_scripta	Trachemys scripta	6812	0.47015	0.06714	0.46352	0.05848	0.48343	0.13649	0.41834	0.09435	0.57431	0.17625	-0.03227	0.20941	-0.05604	0.19859	-0.08024
Tripylus_abatoides	Schizocosmus abatoides	7759	0.50572	0.05057	0.47157	0.04739	0.5741	0.11663	0.386	0.0705	0.02423	0.07836	-0.08834	0.13599	-0.08093	0.1327	-0.12234
Tupaia_belangeri	Tupaia belangeri	21572	0.51611	0.08557	0.49055	0.0693	0.56735	0.16305	0.48374	0.11015	0.59898	0.11504	-0.02691	0.17641	-0.03339	0.17059	-0.11157
Varecia_variegata_variegata	Varecia variegata variegata	10728	0.49267	0.07074	0.47107	0.05593	0.53598	0.15335	0.44376	0.10211	0.51611	0.20823	-0.07571	0.30825	-0.07405	0.28669	-0.1423
